day_str,h1_vol,h1_vibrate,day_vibrate
20160104,62525 ,164,258
20160105,63434 ,82,119
20160106,60090 ,92,147
20160107,78000 ,149,240
20160108,79625 ,150,150
20160111,73071 ,103,121
20160112,54962 ,77,128
20160113,65855 ,78,113
20160114,76084 ,89,117
20160115,57938 ,79,173
20160118,79202 ,200,325
20160119,52712 ,61,118
20160120,42399 ,93,131
20160121,68342 ,92,105
20160122,52957 ,80,111
20160125,63100 ,115,115
20160126,48415 ,41,65
20160127,41020 ,59,81
20160128,52709 ,87,110
20160129,53276 ,96,253
20160130,27862 ,57,76
20160201,46295 ,67,83
20160202,41756 ,58,88
20160203,59602 ,87,92
20160215,52968 ,133,161
20160216,49134 ,78,155
20160217,28599 ,55,58
20160218,63285 ,99,99
20160219,40375 ,65,65
20160222,51425 ,118,143
20160223,41619 ,46,60
20160224,61300 ,85,166
20160225,54492 ,61,104
20160226,55418 ,96,105
20160301,42052 ,50,124
20160302,64216 ,59,75
20160303,55372 ,89,89
20160304,37803 ,46,70
20160307,48873 ,84,112
20160308,44222 ,72,95
20160309,51037 ,77,77
20160310,51252 ,68,75
20160311,37665 ,44,99
20160314,45641 ,49,53
20160315,32359 ,35,172
20160316,22914 ,42,72
