day,day_diff
20160104,258
20160105,119
20160106,147
20160107,240
20160108,150
20160111,121
20160112,128
20160113,113
20160114,117
20160115,173
20160118,325
20160119,118
20160120,131
20160121,105
20160122,111
20160125,115
20160126,65
20160127,81
20160128,110
20160129,253
20160130,76
20160201,83
20160202,88
20160203,92
20160215,161
20160216,155
20160217,58
20160218,99
20160219,65
20160222,143
20160223,60
20160224,166
20160225,104
20160226,105
20160301,124
20160302,75
20160303,89
20160304,70
20160307,112
20160308,95
20160309,77
20160310,75
20160311,99
20160314,53
20160315,172
20160316,72
20160317,138
20160318,76
20160321,120
20160322,116
20160323,89
20160324,124
20160325,88
20160328,80
20160329,133
20160330,121
20160331,124
20160401,96
20160406,146
20160407,112
20160408,125
20160411,115
20160412,116
20160413,115
20160414,79
20160415,128
20160418,54
20160419,150
20160420,186
20160421,80
20160422,99
20160425,63
20160426,96
20160427,84
20160428,191
20160429,
